MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
accuracy		no	noun	freedom from mistake or error	MW online	accuracy	accuraci	noun	2	4 & 5	3	abstract	12	12.2571	1	accurate	notcognate		1	HS.N-Q 	"Grade 1 Reading Standards: Foundational Skills,Grade 2 Reading Standards: Foundational Skills,Grade 3 Reading Standards: Foundational Skills,Grade 4 Reading Standards: Foundational Skills,Grade 5 Reading Standards: Foundational Skills,Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 9-10 Speaking and Listening,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	 ELA: Grade 4 Reading Standards: Foundational Skills - Fluency (4)		ELA: Grade 5 Reading Standards:  Foundational Skills - Fluency (43)			4 & 5	math & science	2	4
accurate		no	adjective	free from mistake or error	MW online	accurate	accur	adjective	2	4 & 5	2	n/a	34	52.3302	2		notcognate		1	NOT PRESENT	"Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"						4 & 5	math & science	2	5
accurately		no	adverb	in an accurate manner; exactly; precisely; without error or defect	Webster's Online Dictionary	accurately	accur	adverb	2	4	1	n/a	16	52.3302	1	accurate	notcognate		1	NOT PRESENT	"Kindergarten Language Standards,Grade 3 Language Standards,Grade 4 Reading Standards: Foundational Skills,Grade 4 Language Standards,Grade 5 Reading Standards for Literature,Grade 5 Reading Standards for Informational Text,Grade 5 Reading Standards: Foundational Skills,Grade 5 Language Standards,Grade 6 Language Standards,Grade 7 Language Standards,Grade 8 Language Standards,Grades 9-10 Language Standards,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards"	" ELA: Grade 4 Reading Standards: Foundational Skills - Phonics and Word Recognition (3),Grade 4 Language Standards - Vocabulary Acqcuisition and Use (6)"		"ELA: Grade 5 Reading Standards for Literature - Key Ideas and Details (1),Grade 5 Reading Standards for Informational Texts - Key Ideas and Details (1),Grade 5 Reading Standards:  Foundational Skills - Phonics and Word Recognition (3),Grade 5 Language Standards - Vocabulary Acquisition and Use (6); Math: END"			4	math	1	1
acreage		no	noun	area measured in acres	MW online	acreage	acreag	noun	1	4 & 5	2	abstract	0.761	0.8164	0		notcognate		0								4 & 5	math	1	2
acres	unit of land	no	noun	"any of various units of area; a unit in the United States and England equal to 43,560 square feet (4047 square meters) (plural)"	MW online	acres	acr	noun	1	4 & 5	4	abstract	21	29	0		notcognate		0								4 & 5	math	1	4
acute		yes	adjective	"having an angle with a sharp point, which measures less than that of a right angle"	5th math hm	acute	acut	noun & adjective	1 & 6	4 & 5	4	abstract	4	5.2894	0		cognate	agudo	1	"4.G ,HS.G-SRT "	NOT PRESENT	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (1)"					4 & 5	math	1	4
adapt		no	verb	to make fit (as for new use) often by modification	MWonline	adapt	adapt	verb	2	5	1	n/a	9	42.8277	2		notcognate	adaptar	0	NOT PRESENT	"Grade 5 Speaking and Listening Standards,Grade 6 Speaking and Listening Standards,Grade 7 Speaking and Listening Standards,Grade 8 Speaking and Listening Standards,Grades 9-10 Speaking and Listening,Grades 11-12 Speaking and Listening Standards"			ELA: Grade 5 Speaking and Listening Standards-  Presentation of Knowledge and Ideas (6)			4 & 5	math & science	2	2
adapted		no	verb	to make fit (as for new use) often by modification	MW online	adapt	adapt	adjective	1	4	1	n/a	17	42.8277	1	adapt	notcognate	adaptado	0	NOT PRESENT	NOT PRESENT						4	math	1	1
added		no	verb	to perform addition: getting the sum of two numbers	MW online	add	add	noun & verb	1 & 6	4	1	abstract	137	396.5793	0		notcognate		1	"K.CC, K.OA ,1.OA "	"Grade 2 Language Standards,Grade 3 Language Standards,"						4	math	1	1
addend		yes	noun	a number to be added in an addition expression	4th math hm	addend	addend	noun	1	4	2	abstract	0	n/a	0		notcognate		0								4	math	1	2
addends		yes	noun	the numbers that are added together to find a sum	4th math psf	addend	addend	noun	1	4 & 5	4	abstract	0	n/a	0		notcognate		0								4 & 5	math	1	4
