MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
accuracy	1	216					4th math hm	math	4	32					4th math psf	math	4	146					5th math psf	math	5									8					5th science mmh	science	5																								
accurate	2	147					4th math psf	math	4	159					5th math psf	math	5																	374					4th science mmh	science	4	250					5th science delta	science	5	278					5th science mmh	science	5								
accurately	3	115					4th math psf	math	4																																																								
acreage	4	404					4th math hm	math	4	377					5th math hm	math	5																																																
acres	5	85	unit of land				4th math hm	math	4	18					4th math psf	math	4	56					5th math hm	math	5	22					5th math psf	math	5																																
acute	6	560		x			4th math hm	math	4	201					4th math psf	math	4	394		x			5th math hm	math	5	178					5th math psf	math	5																																
adapt	7	306					5th math psf	math	5																									116					4th science mmh	science	4																								
adapted	8	304					4th math hm	math	4																																																								
added	9	467					4th math psf	math	4																																																								
addend	10	48		x			4th math hm	math	4	466					4th math psf	math	4																																																
addends	11	48					4th math hm	math	4	466		x			4th math psf	math	4	ksh8					5th math hm	math	5	468					5th math psf	math	5																																
adjacent	12	452		x			5th math hm	math	5	188					5th math psf	math	5																																																
adjusting	13	469					5th math psf	math	5	469					4th math psf	math	4																																																
adjustment	14	469					5th math psf	math	5																																																								
adopt	15	207					4th math hm	math	4																																																								
adopted	16	59					4th math psf	math	4	409					5th math psf	math	5																																																
advertises	17	463					5th math hm	math	5																																																								
advertising	18	544					4th math hm	math	4																																																								
album	19	112					4th math psf	math	4	141					4th math hm	math	4																																																
albums	20	457					4th math hm	math	4	112					4th math psf	math	4																																																
algebra	21	33					5th math psf	math	5	31					4th math psf	math	4																																																
algebraic	22	57		x			4th math hm	math	4	466		x			4th math psf	math	4	104		x			5th math hm	math	5	52					5th math psf	math	5																																
algorithms	23	54					4th math hm	math	4	36					4th math psf	math	4																																																
alternate	24	37	to take turns				4th math hm	math	4																																																								
alternative	25	464					5th math hm	math	5																																																								
altimeter	26	4		x			4th math psf	math	4																																																								
altitude	27	10					4th math hm	math	4																									163					5th science delta	science	5	484		x			5th science mmh	science	5																
amend	28	241					5th math psf	math	5																																																								
amendment	29	241					5th math psf	math	5																																																								
amplifier	30	86	device to make music louder				4th math hm	math	4																																																								
analyze	31	17					4th math hm	math	4	16					4th math psf	math	4	ksh1					5th math hm	math	5	14					5th math psf	math	5	11					4th science mmh	science	4	3		x			5th science mmh	science	5																
angle	32	468		x			5th math psf	math	5	560		x			4th math hm	math	4	466		x			4th math psf	math	4	389		x			5th math hm	math	5	201					5th science delta	science	5	243					5th science mmh	science	5																
angles	33	557		x			4th math hm	math	4	192					4th math psf	math	4	ksh26		x			5th math hm	math	5	468					5th math psf	math	5																																
annual	34	143					5th math psf	math	5	161					4th math hm	math	4																																																
annually	35	432					4th math hm	math	4																																																								
appropriate	36	126					4th math psf	math	4	126					4th math psf	math	4																	105	adjective				5th science delta	science	5	3	adjective				5th science mmh	science	5																
approximate	37	470	close to actual				5th math psf	math	5	216	close to actual				4th math hm	math	4	32	close to actual				4th math psf	math	4	460	close to actual				5th math hm	math	5																																
approximately	38	213		x			4th math hm	math	4	92					5th math hm	math	5	105					5th math psf	math	5																																								
aquarium	39	282					4th math hm	math	4	16					4th math psf	math	4																	78					4th science delta	science	4																								
arc	40	67					4th math psf	math	4	390					5th math hm	math	5																																																
architect	41	396					4th math hm	math	4																																																								
