2118	19652	07	022280	KRSG		Independent Study	99F					
2118	20097	01	015878	ANTH		Intr Humn Evolution	1					
2118	20105	01H	015878	ANTH		Intr Humn Evolution	1					
2118	20113	01	015914	ANTH		Cltr Power Lat Amer	80I					
2118	20114	01	015939	ANTH		Human Evolution	101					
2118	20120	01	016023	ANTH		Native Peoples N Am	130N					
2118	20123	01C	016023	ANTH		Native Peoples N Am	130N					
2118	20124	01	016031	ANTH		Women Xcultrl Persp	131					
2118	20125	01	016046	ANTH		Intro Medical Anthro	134					
2118	20131	01	016089	ANTH		Communicating Anth	150					
2118	20170	01	016588	ART		SpecialTopicsSculpture	148					
2118	20191	01	017252	BIOL		Cell & Molecular Bi	20A					
2118	20192	01A	017252	BIOL		Cell & Molecular Bi	20A					
2118	20195	01D	017252	BIOL		Cell & Molecular Bi	20A					
2118	20213	01	017254	BIOE		Ecology & Evolution	20C					
2118	20244	01	017359	BIOL		Cell Biology	110					
2118	20250	01F	017359	BIOL		Cell Biology	110					
2118	20365	02	017945	CHEM		General Chemistry	1A					
2118	20368	02C	017945	CHEM		General Chemistry	1A					
2118	20422	01	018003	BME		Bioethics 21st Cent	80G					
2118	20424	01B	018003	BME		Bioethics 21st Cent	80G					
2118	20440	01	018012	CHEM		Organic Chemistry	108A					
2118	20443	01C	018012	CHEM		Organic Chemistry	108A					
2118	20445	01E	018012	CHEM		Organic Chemistry	108A					
2118	20455	01	018014	CHEM		Organic Chem Lab	108L					
2118	20456	01A	018014	CHEM		Organic Chem Lab	108L					
2118	20464	01I	018014	CHEM		Organic Chem Lab	108L					
2118	20527	01C	018851	CMPE		Personal Computers	3					
2118	20530	02	018855	CMPE		Comp Sys/Lang Lab	12L					
2118	20582	01	019007	CMPS		Intro to Prog Java	5J					
2118	20584	01B	019007	CMPS		Intro to Prog Java	5J					
2118	20588	01	019020	CMPS		Abstract Data Types	101					
2118	20592	01D	019020	CMPS		Abstract Data Types	101					
2118	20600	01	019040	CMPS		Intro Comp Graphics	160					
2118	20667	01	019660	ECON		Intro Macroeconomic	2					
2118	20673	01F	019660	ECON		Intro Macroeconomic	2					
2118	20680	01	019668	ECON		Econ of Accounting	10A					
2118	20707	01	019671	AMS		Math Methd for Econ	11A					
2118	20710	01C	019671	AMS		Math Methd for Econ	11A					
2118	20795	01	019788	ECON		East&Southeast Asia	149					
2118	20796	01A	019788	ECON		East&Southeast Asia	149					
2118	20882	01	020278	AMS		Intro Prob Theory	131					
2118	20919	01	020550	ENVS		Fresh Water Policy	165					
2118	20946	01	020748	FILM		Intro Film Studies	20A					
2118	20953	01	020751	FILM		Productn Technique	20P					
2118	20954	01A	020751	FILM		Productn Technique	20P					
2118	20958	01	020775	FILM		Amer Film:1960-Pres	134B					
2118	20961	01C	020775	FILM		Amer Film:1960-Pres	134B					
2118	20979	02	020852	FREN		Instr French Lang	1					
2118	21015	01	021167	HIS		L.Amer ColonlPeriod	11A					
2118	21019	01D	021167	HIS		L.Amer ColonlPeriod	11A					
2118	21035	01	021388	HIS		Afro-Amer to 1877	121A					
2118	21036	01A	021388	HIS		Afro-Amer to 1877	121A					
2118	21100	01	022887	LING		Semantics I	53					
2118	21103	01C	022887	LING		Semantics I	53					
2118	21157	01	025130	LTWL		Topics in World Lit	190A					
2118	21231	01	025315	MATH		Calc:Sci,Engin,Math	19A					
2118	21249	01	025319	MATH		Linear Algebra	21					
2118	21255	01A	025325	MATH		Multivariable Calc	23A					
2118	21259	01	025326	MATH		Multivariable Calc	23B					
2118	21260	01A	025326	MATH		Multivariable Calc	23B					
2118	21265	01	025343	MATH		Intr Proof/Prb Solv	100					
2118	21269	01D	025343	MATH		Intr Proof/Prb Solv	100					
2118	21301	01	025833	MUSC		Classical/MidAges/Pres	11A					
2118	21305	01	025909	MUSC		Hist Electronic Mus	80C					
2118	21317	01	026238	OCEA		The Oceans	1					
2118	21318	01A	026238	OCEA		The Oceans	1					
2118	21350	01	026311	PHIL		Intro To Philosophy	11					
2118	21352	01B	026311	PHIL		Intro To Philosophy	11					
2118	21367	01	026743	PHYS		Intro Physics I	5A					
2118	21380	02	026753	PHYS		Intro Physics I	6A					
2118	21395	14	026759	PHYS		Intro Phys I Lab	6L					
2118	21396	15	026759	PHYS		Intro Phys I Lab	6L					
2118	21456	01	027184	POLI		Race:His of Concept	190P					
2118	21466	01	027389	PSYC		Intro Psychology	1					
2118	21473	01G	027389	PSYC		Intro Psychology	1					
2118	21505	01	027450	PSYC		Psych and Religion	80A					
2118	21507	01B	027450	PSYC		Psych and Religion	80A					
2118	21510	01E	027450	PSYC		Psych and Religion	80A					
2118	21515	01	027535	PSYC		Dev Psychopathology	115					
2118	21520	01E	027535	PSYC		Dev Psychopathology	115					
2118	21527	01	027606	PSYC		Feelings & Emotions	135					
2118	21528	01A	027606	PSYC		Feelings & Emotions	135					
2118	21534	01	027629	PSYC		Women's Lives	140G					
2118	21545	01	027720	PSYC		Freud	163					
2118	21546	01A	027720	PSYC		Freud	163					
2118	21553	01	027730	PSYC		Commun Mental Health	169					
2118	21581	01	028107	SOCY		Intro Sociology	1					
2118	21584	01C	028107	SOCY		Intro Sociology	1					
2118	21594	01	028115	SOCY		World Society	15					
2118	21600	01F	028115	SOCY		World Society	15					
2118	21615	01	028190	SOCY		Classical Soc Theor	105A					
2118	21620	01E	028190	SOCY		Classical Soc Theor	105A					
2118	21624	01	028203	SOCY		Family & Society	111					
2118	21626	01	028243	SOCY		Health & Medicine	121					
2118	21686	01	029327	FMST		Race/Gender Formatn	145					
2118	21708	01	100453	ENVS		Agroecosys Analysis	166					
2118	21720	01	100941	CMPE		Com Sys/Assmbly Lan	12					
2118	21740	03	101120	CMPS		Comp Graphics Lab	160L					
2118	21755	01	101726	SOCY		Latinos/AmerGlobCty	177A					
2118	21766	01	102147	HIS		Power/Culture in US	190U					
2118	21782	01	102496	COWL		RI:Imagining Justice	80B					
2118	21888	17	102556	CLNI		UD:Intl/Global Issues	80A					
2118	21970	18	102649	OAKS		UD:CommunicatingDiversity	80A					
2118	22015	01	103914	FMST		Technol/Americas	124					
2118	22037	01	104638	CMPE		Universal Access	80A					
2118	22056	01	105975	MERR		Classrm Connection	85C					
2118	22083	01	106160	POLI		Concepts/Politics	3					
2118	22084	01A	106160	POLI		Concepts/Politics	3					
2118	22168	01	107983	AMS		Gambling and Gaming	80A					
2118	22189	01	108932	EDUC		Intro to Education	60					
2118	22203	01	109069	FMST		Feminism/SocJust	80A					
2118	22229	01	109392	ASTR		The Cosmos	1					
2118	22242	01	110087	POLI		Andean Politics	144					
2118	22243	01	110242	SOCY		Glbl Islam Politics	188G					
2118	22292	01	110787	AMST		Reading Culture	102					
2118	22367	01	024798	LTPR		Idea of Poetry	134					
2118	22404	01A	020550	ENVS		Fresh Water Policy	165					
2118	22412	01	111980	HUMN		Intro to the Sikhs	70S					
2118	22439	01	112034	COWL		Higher Ed	138A					
2118	22450	01	028428	SOCY		Social Movements	172					
2118	22466	01	020784	FILM		Film Genres	160					
2118	22472	01	027025	POLI		Ca Water Law/Policy	132					
2118	22477	01	112066	PSYC		Psych Interpretation	179D					
2118	22530	01	015943	ANTH		Human Skeletal Biol	102A					
2118	22649	01	105341	POLI		PoliticalOrganizatns	125					
2118	22705	01	019045	CMPS		Hypermedia/Web	183					
2118	22709	01	110800	MATH		Col Algbra/Calculus	2S					
2118	22775	01S	018014	CHEM		Organic Chem Lab	108L					
2118	22785	01F	027629	PSYC		Women's Lives	140G					
2118	22802	01A	019045	CMPS		Hypermedia/Web	183					
2120	33514	01	020092	EDUC		Group Projects	194F					
2120	37044	06	027249	POLI		Thesis Research	299A					
2120	40075	01	015885	ANTH		Intro Archaeology	3					
2120	40087	01L	015885	ANTH		Intro Archaeology	3					
2120	40096	01	015949	ANTH		Primate Behavior	106					
2120	40105	01	016009	ANTH		Brazil	130B					
2120	40118	01	016126	ANTH		Archaeol Res Design	172					
2120	40177	01	017138	ASTR		Planetary Systems	118					
2120	40199	01	017253	BIOE		Developmt & Physiol	20B					
2120	40220	01	017304	BME		The Human Genome	80H					
2120	40248	01	017393	BIOL		Development	120					
2120	40254	01	017430	BIOL		Human Physiology	130					
2120	40257	01	017433	BIOL		Human Physiolgy Lab	130L					
2120	40326	01	017948	CHEM		General Chemistry	1B					
2120	40383	01	018012	CHEM		Organic Chemistry	108A					
2120	40390	01G	018012	CHEM		Organic Chemistry	108A					
2120	40409	01	018014	CHEM		Organic Chem Lab	108L					
2120	40415	01F	018014	CHEM		Organic Chem Lab	108L					
2120	40449	01	018060	CHEM		Chem Thermodynamics	163B					
2120	40487	04	018400	CLTE		Social Justice Work	85					
2120	40489	01	018507	CMMU		Public Health	160					
2120	40490	01A	018507	CMMU		Public Health	160					
2120	40493	02	018668	CMMU		Analys Fld Material	194					
2120	40527	01	018998	CMPS		Intro Computer Sci	10					
2120	40555	01	019041	CMPS		Intro Data Visual	161					
2120	40581	01	019442	EART		Earth as Chem Systm	110B					
2120	40583	02	019445	EART		Chem System Lab	110M					
2120	40618	01	019660	ECON		Intro Macroeconomic	2					
2120	40623	01E	019660	ECON		Intro Macroeconomic	2					
2120	40631	01	019668	ECON		Econ of Accounting	10A					
2120	40806	01	020034	EDUC		Bilingual & School	141					
2120	40841	01	020269	AMS		Statistics	5					
2120	40847	01F	020269	AMS		Statistics	5					
2120	40848	01	020270	AMS		StatMthdsBio/Env/Hlth	7					
2120	40849	01A	020270	AMS		StatMthdsBio/Env/Hlth	7					
2120	40895	01	020749	FILM		Intro TV Studies	20B					
2120	40901	01F	020749	FILM		Intro TV Studies	20B					
2120	40902	01	020767	FILM		Intro Film Theory	120					
2120	40903	01A	020767	FILM		Intro Film Theory	120					
2120	40953	01	020957	HAVC		Intro Visual Europe	30					
2120	40958	01	021037	HAVC		Camera And Body	141F					
2120	40989	01	021208	HIS		Making of Mod Africa	30					
2120	40993	01D	021208	HIS		Making of Mod Africa	30					
2120	41000	01	021389	HIS		African-Am1877-Pres	121B					
2120	41001	01A	021389	HIS		African-Am1877-Pres	121B					
2120	41003	01	021422	HIS		Revolutionary China	140C					
2120	41029	01	022482	LALS		Intro Latin Amer St	1					
2120	41030	01A	022482	LALS		Intro Latin Amer St	1					
2120	41053	01	022879	LING		Intr To Linguistics	50					
2120	41054	01A	022879	LING		Intr To Linguistics	50					
2120	41132	01	025098	LTWL		Global Fiction	115A					
2120	41133	01A	025098	LTWL		Global Fiction	115A					
