2204	2020 Summer Quarter	2020-06-20	2020-08-30
2202	2020 Spring Quarter	2020-03-30	2020-06-10
2200	2020 Winter Quarter	2020-01-05	2020-03-20
2198	2019 Fall Quarter	2019-09-20	2019-12-10
2194	2019 Summer Quarter	2019-06-20	2019-08-30
2192	2019 Spring Quarter	2019-03-30	2019-06-10
2190	2019 Winter Quarter	2019-01-05	2019-03-20
2188	2018 Fall Quarter	2018-09-20	2018-12-10
2184	2018 Summer Quarter	2018-06-20	2018-08-30
2182	2018 Spring Quarter	2018-03-30	2018-06-10
2180	2018 Winter Quarter	2018-01-05	2018-03-20
2178	2017 Fall Quarter	2017-09-20	2017-12-10
2174	2017 Summer Quarter	2017-06-15	2017-08-15
2172	2017 Spring Quarter	2017-03-15	2017-06-15
2170	2017 Winter Quarter	2017-01-15	2017-03-15
2168	2016 Fall Quarter	2016-09-20	2016-12-10
2164	2016 Summer Quarter	2016-06-20	2016-08-26
2162	2016 Spring Quarter	2016-03-28	2016-06-09
2160	2016 Winter Quarter	2016-01-04	2016-03-17
2158	2015 Fall Quarter	2015-09-19	2015-12-10
2154	2015 Summer Quarter	2015-06-22	2015-08-28
2152	2015 Spring Quarter	2015-03-30	2015-06-11
2150	2015 Winter Quarter	2015-01-05	2015-03-19
2148	2014 Fall Quarter	2014-09-27	2014-12-18
2144	2014 Summer Quarter	2014-06-23	2014-08-29
2142	2014 Spring Quarter	2014-03-31	2014-06-12
2140	2014 Winter Quarter	2014-01-03	2014-03-20
2138	2013 Fall Quarter	2013-09-21	2013-12-12
2134	2013 Summer Quarter	2013-06-24	2013-08-30
2132	2013 Spring Quarter	2013-04-01	2013-06-13
2130	2013 Winter Quarter	2013-01-04	2013-03-21
2128	2012 Fall Quarter	2012-09-22	2012-12-13
2124	2012 Summer Quarter	2012-06-25	2012-07-10
2122	2012 Spring Quarter	2012-04-02	2012-09-28
2120	2012 Winter Quarter	2012-01-06	2012-03-22
2118	2011 Fall Quarter	2011-09-17	2011-12-08
2114	2011 Summer Quarter	2011-06-20	2011-08-26
2112	2011 Spring Quarter	2011-03-28	2011-06-09
2110	2011 Winter Quarter	2011-01-03	2011-03-18
2108	2010 Fall Quarter	2010-09-18	2010-12-09
2104	2010 Summer Quarter	2010-06-21	2010-08-27
2102	2010 Spring Quarter	2010-03-29	2010-06-10
2100	2010 Winter Quarter	2010-01-04	2010-03-19
2098	2009 Fall Quarter	2009-09-19	2009-12-10
2094	2009 Summer Quarter	2009-06-22	2009-08-28
2092	2009 Spring Quarter	2009-03-30	2009-06-11
2090	2009 Winter Quarter	2009-01-05	2009-03-20
2088	2008 Fall Quarter	2008-09-20	2008-12-11
2084	2008 Summer Quarter	2008-06-23	2008-08-29
2082	2008 Spring Quarter	2008-03-31	2008-06-12
2080	2008 Winter Quarter	2008-01-07	2008-03-21
2078	2007 Fall Quarter	2007-09-22	2007-12-13
2074	2007 Summer Quarter	2007-06-25	2007-08-31
2072	2007 Spring Quarter	2007-04-02	2007-06-14
2070	2007 Winter Quarter	2007-01-03	2007-03-22
2068	2006 Fall Quarter	2006-09-16	2006-12-07
2064	2006 Summer Quarter	2006-06-26	2006-09-01
2062	2006 Spring Quarter	2006-04-03	2006-06-15
2060	2006 Winter Quarter	2006-01-04	2006-03-23
2058	2005 Fall Quarter	2005-09-17	2005-12-08
2054	2005 Summer Quarter	2005-06-20	2005-08-26
2052	2005 Spring Quarter	2005-03-28	2005-06-09
2050	2005 Winter Quarter	2005-01-03	2005-03-18
2048	2004 Fall Quarter	2004-09-18	2004-12-09
2044	2004 Summer Quarter	2004-06-21	2004-08-27
2042	2004 Spring Quarter	2004-03-29	2004-06-10
2040	2004 Winter Quarter	2004-01-05	2004-03-18
2038	2003 Fall Quarter	2003-09-20	2003-12-11
2034	2003 Summer Quarter	2003-06-23	2003-08-29
2032	2003 Spring Quarter	2003-03-31	2003-06-12
2030	2003 Winter Quarter	2003-01-02	2003-03-20
2028	2002 Fall Quarter	2002-09-14	2002-12-05
2024	2002 Summer Quarter	2002-06-17	2002-08-23
2022	2002 Spring Quarter	2002-03-26	2002-06-06
2020	2002 Winter Quarter	2002-01-02	2002-03-19
2018	2001 Fall Quarter	2001-09-15	2001-12-06
2014	2001 Summer Quarter	2001-06-18	2001-08-24
2012	2001 Spring Quarter	2001-03-26	2001-06-07
2010	2001 Winter Quarter	2001-01-02	2001-03-19
2008	2000 Fall Quarter	2000-09-16	2000-12-07
2004	2000 Summer Quarter	2000-06-26	2000-08-25
2002	2000 Spring Quarter	2000-03-27	2000-06-08
2000	2000 Winter Quarter	2000-01-03	2000-03-19
1998	1999 Fall Quarter	1999-09-18	1999-12-09
1994	1999 Summer Quarter	1999-06-21	1999-08-27
1992	1999 Spring Quarter	1999-03-29	1999-06-11
1990	1999 Winter Quarter	1999-01-03	1999-03-19
1988	1998 Fall Quarter	1998-09-26	1998-12-18
1984	1998 Summer Quarter	1998-06-29	1998-09-04
1982	1998 Spring Quarter	1998-04-06	1998-06-19
1980	1998 Winter Quarter	1998-01-06	1998-03-25
1978	1997 Fall Quarter	1997-09-20	1997-12-12
1974	1997 Summer Quarter	1997-06-23	1997-08-29
1972	1997 Spring Quarter	1997-03-31	1997-06-13
1970	1997 Winter Quarter	1997-01-05	1997-03-21
1968	1996 Fall Quarter	1996-09-21	1996-12-13
1964	1996 Summer Quarter	1996-06-24	1996-08-30
1962	1996 Spring Quarter	1996-04-01	1996-06-14
1960	1996 Winter Quarter	1996-01-02	1996-03-21
1958	1995 Fall Quarter	1995-09-23	1995-12-15
1954	1995 Summer Quarter	1995-06-26	1995-09-01
1952	1995 Spring Quarter	1995-04-03	1995-06-16
1950	1995 Winter Quarter	1995-01-03	1995-03-24
1948	1994 Fall Quarter	1994-09-22	1994-12-14
1944	1994 Summer Quarter	1994-06-27	1994-09-02
1942	1994 Spring Quarter	1994-04-04	1994-06-17
1940	1994 Winter Quarter	1994-01-04	1994-03-25
1938	1993 Fall Quarter	1993-09-18	1993-12-10
1934	1993 Summer Quarter	1993-06-26	1993-09-01
1932	1993 Spring Quarter	1993-04-05	1993-06-18
1930	1993 Winter Quarter	1993-01-05	1993-03-25
1928	1992 Fall Quarter	1992-09-19	1992-12-11
1924	1992 Summer Quarter	1992-06-22	1992-08-28
1922	1992 Spring Quarter	1992-03-30	1992-06-12
1920	1992 Winter Quarter	1992-01-03	1992-03-20
1918	1991 Fall Quarter	1991-09-21	1991-12-13
1914	1991 Summer Quarter	1991-06-24	1991-08-30
1912	1991 Spring Quarter	1991-04-01	1991-06-14
1910	1991 Winter Quarter	1991-01-02	1991-03-22
1908	1990 Fall Quarter	1990-09-22	1990-12-14
1904	1990 Summer Quarter	1990-06-21	1990-08-29
1902	1990 Spring Quarter	1990-04-02	1990-06-15
1900	1990 Winter Quarter	1990-01-03	1990-03-23
1898	1989 Fall Quarter	1989-09-23	1989-12-15
1894	1989 Summer Quarter	1989-06-26	1989-09-01
1892	1989 Spring Quarter	1989-04-03	1989-06-16
1890	1989 Winter Quarter	1989-01-03	1989-03-21
1888	1988 Fall Quarter	1988-09-24	1988-12-16
1884	1988 Summer Quarter	1988-06-20	1988-08-26
1882	1988 Spring Quarter	1988-03-28	1988-06-10
1880	1988 Winter Quarter	1988-01-04	1988-03-21
1878	1987 Fall Quarter	1987-09-26	1987-12-18
1874	1987 Summer Quarter	1987-06-22	1987-08-28
1872	1987 Spring Quarter	1987-03-27	1987-06-12
1870	1987 Winter Quarter	1987-01-02	1987-03-20
1868	1986 Fall Quarter	1986-09-27	1986-12-17
1864	1986 Summer Quarter	1986-06-23	1986-08-29
1862	1986 Spring Quarter	1986-03-31	1986-06-13
1860	1986 Winter Quarter	1986-01-06	1986-03-24
1858	1985 Fall Quarter	1985-09-21	1985-12-13
1854	1985 Summer Quarter	1985-06-24	1985-08-30
1852	1985 Spring Quarter	1985-04-01	1985-06-14
1850	1985 Winter Quarter	1985-01-07	1985-03-22
1848	1984 Fall Quarter	1984-09-15	1984-12-07
1844	1984 Summer Quarter	1984-06-20	1984-08-31
1842	1984 Spring Quarter	1984-04-02	1984-06-15
1840	1984 Winter Quarter	1984-01-04	1984-03-20
